Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
C123,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,4.47213595499958,6,0,0
C124,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,4.47213595499958,9,0,0
C125,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,3.16227766016838,8,0,0
C126,All,Crop,Cereal,Cereal,1721.895,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,6.32455532033676,7,0,0
C127,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,3.16227766016838,12,0,0
C128,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,4.47213595499958,7,0,0
C129,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,4.47213595499958,8,0,0
C13,All,Crop,Cereal,Cereal,1464.372,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,4.47213595499958,8,0,0
C130,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,3.16227766016838,9,0,0
C131,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,4.47213595499958,5,0,0
C132,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,4.47213595499958,7,0,0
C133,All,Crop,Cereal,Cereal,1721.895,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,3.16227766016838,8,0,0
C134,All,Crop,Cereal,Cereal,1721.895,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,4.47213595499958,7,0,0
C135,All,Crop,Cereal,Cereal,1721.895,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,4.47213595499958,9,0,0
C136,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,3.16227766016838,5,0,0
C137,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,4.47213595499958,10,0,0
C138,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,4.47213595499958,7,0,0
C139,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,4.47213595499958,11,0,0
C14,All,Crop,Cereal,Cereal,1464.372,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,3.16227766016838,8,0,0
C140,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,6.32455532033676,7,0,0
C141,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,3.16227766016838,8,0,0
C142,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,3.16227766016838,8,0,0
C143,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,6.32455532033676,10,0,0
C144,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,4.47213595499958,10,0,0
C145,All,Crop,Cereal,Cereal,1721.895,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,3.16227766016838,6,0,0
C146,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,3.16227766016838,4,0,0
C147,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,0,6,0,0
C148,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,0,10,0,0
C149,All,Crop,Cereal,Cereal,1721.895,0,0,0,5.47722557505166,3.7375440777552,0,0,0,0,5.47722557505166,8,0,0
C15,All,Crop,Cereal,Cereal,1464.372,0,0,0,3.16227766016838,3.7375440777552,0,0,0,0,4.47213595499958,9,0,0
C150,All,Crop,Cereal,Cereal,1721.895,0,0,0,0,3.7375440777552,0,0,0,0,3.16227766016838,4,0,0
C151,All,Crop,Cereal,Cereal,1721.895,0,0,0,4.47213595499958,3.7375440777552,0,0,0,0,4.47213595499958,8,0,0
C152,All,Crop,Cereal,Cereal,1721.895,0,0,0,6.32455532033676,3.7375440777552,0,0,0,0,5.47722557505166,8,0,0
