Plot,Exploratory,LU,Core_depth,pH,elevation,Cstock0.10,TWI,prop_clay,Mean_Temp,Mean_precip
HEG25,H,G,37,6.95,311.48,4.53992799599999,6.13246,0.423,8.55959,597.81747875
HEG26,H,G,57,6.58,340.83,2.24067558099999,5.51564,0.481,8.35203285714286,617.701225
HEG27,H,G,13,6.46,237.04,3.07500765399999,8.83279,0.492,8.8510225,538.88998875
HEG28,H,G,30,6.93,340.7,3.06193017,10.7323,0.536,8.648314,584.11001625
HEG29,H,G,50,7.04,350.87,2.8057587345,6.47929,0.469,8.39661,584.11001625
HEG30,H,G,17,6.68,378.61,4.02805229399998,7.22317,0.4,7.97204,613.0125075
HEG31,H,G,47,6.44,446.96,4.27457097999999,8.74264,0.237237237237237,8.630374,657.16124625
HEG32,H,G,79,5.83,296.77,3.481174748,10.4927,0.341023069207623,8.82227,590.227505
HEG33,H,G,66,5.1,318.81,4.64877084999999,7.1463,0.353,8.63557,619.7062325
HEG34,H,G,37,6.57,309.64,3.23594745,6.22547,0.448,8.56295,580.0825
HEG35,H,G,32,6.1,265.44,4.41902205299999,7.68004,0.307,8.67605666666667,557.73749125
HEG36,H,G,33,6.68,322.96,3.67105699,6.56249,0.0608175473579262,8.86424857142857,618.8512575
HEG37,H,G,96,6.49,318.59,3.96079694999999,9.60047,0.06,8.64795,603.17875625
HEG38,H,G,84,6.87,309.97,2.99526820449999,6.52096,0.31,8.64468,646.03249625
HEG39,H,G,81,5.22,293.16,3.80036480399999,7.36582,0.351703406813627,8.35872333333333,646.613725
HEG40,H,G,32,5.32,310.41,4.878248399,7.58828,0.274451097804391,8.94321285714286,623.5199775
HEG41,H,G,36,6.2,353.44,3.54545132899999,6.20081,0.518,7.25466,588.49251375
HEG42,H,G,48,6.01,469.28,3.6792026095,7.74326,0.434565434565435,7.951148,640.2037375
HEG43,H,G,29,6.4,409.29,3.5586381,5.70334,0.374875373878365,8.27664,600.36126
HEG44,H,G,32,5.56,434.56,4.592714317,6.08679,0.0789210789210789,7.96041,610.455
