Species;Cultural_overall;Justification for cultural importance importance
Veronica chamaedrys;y;Veronica is commonly appearing in poams and songs
Veronica filiformis;y;Veronica is commonly appearing in poams and songs
Veronica hederifolia;y;Veronica is commonly appearing in poams and songs
Veronica montana;y;Veronica is commonly appearing in poams and songs
Veronica officinalis;y;Veronica is commonly appearing in poems and songs
Veronica peregrina;y;Veronica is commonly appearing in poems and songs
Veronica persica;y;Veronica is commonly appearing in poems and songs
Veronica polita;y;Veronica is commonly appearing in poems and songs
Veronica serpyllifolia;y;Veronica is commonly appearing in poems and songs
Veronica teucrium;y;Veronica is commonly appearing in poems and songs
Viburnum lantana;;
Viburnum opulus;;
Vicia angustifolia;;
Vicia cracca;;
Vicia cracca aggr.;;
Vicia hirsuta;;
Vicia lathyroides;;
Vicia parviflora;;
Vicia sativa;;
Vicia sativa aggr.;;
Vicia sepium;;
Vicia sp;;
Vicia sylvatica;;
Vicia tetrasperma;;
Vicia tetrasperma aggr.;;
Vicia villosa;;
Vinca minor;;
Vincetoxicum hirundinaria;;
Viola arvensis;y;Veilchen (Viola spp.) in poems and songs
Viola collina;y;Veilchen (Viola spp.) in poems and songs
Viola hirta;y;Veilchen (Viola spp.) in poems and songs
Viola reichenbachiana riviniana agg;y;Veilchen (Viola spp.) in poems and songs
Viola sp;y;Veilchen (Viola spp.) in poems and songs
Viscum album;y;myths
